id;title;link;regular_price;promotional_price;brand
666412;Кофе Carte Noire Privilege сублимированный, 95г;https://online.metro-cc.ru/products/carte-noire-privilege-sublimirovannyj-95-g;519;469;CARTE NOIRE
226348;Кофе Carte Noire Elegant растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-carte-noire-elegant-rastvorimyy-stb;509;469;CARTE NOIRE
581767;Кофе Carte Noire Original в зернах 800 г;https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g;1549;1299;CARTE NOIRE
226347;Кофе Carte Noire Voyage au Bresil растворимый, 90г;https://online.metro-cc.ru/products/90g-kofe-carte-noire-voyage-au-bresil-rastvorimyy-stb;509;469;CARTE NOIRE
581766;Кофе Carte Noire растворимый (1.8г х 26шт), 47г;https://online.metro-cc.ru/products/rastvorimyj-carte-noire-v-paketikah-18g-26;539;539;CARTE NOIRE
218856;Кофе Carte Noire Crema Delice в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-carte-noire-crema-delice-zerno;1549;1299;CARTE NOIRE
226334;Кофе в капсулах Carte Noire Riche Espresso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-riche-espresso-v-kapsulah;469;469;CARTE NOIRE
226337;Напиток кофейный Carte Noire Cappuccino растворимый 20 пакетиков, 300г;https://online.metro-cc.ru/products/20shth15g-nap-kofeynyy-carte-noire-cappuccino-rastv-ports;679;679;CARTE NOIRE
426443;Кофе Carte Noire Original растворимый сублимированный, 75г;https://online.metro-cc.ru/products/art_426443;469;399;CARTE NOIRE
201556;Кофе Carte Noire Intense Absolu в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-carte-noire-intense-absolu-zernovoy;1549;1299;CARTE NOIRE
75654;Кофе Carte Noire Original растворимый сублимированный, 190г;https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-190g;1169;979;CARTE NOIRE
226335;Кофе в капсулах Carte Noire Lungo Profond для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-lungo-profond-v-kapsulah;469;469;CARTE NOIRE
426450;Кофе Carte Noire Original растворимый сублимированный, 150г;https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-150g;919;769;CARTE NOIRE
226333;Кофе в капсулах Carte Noire Colombia Origin для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-colombia-origin-v-kapsulah;469;469;CARTE NOIRE
218855;Кофе Carte Noire Original молотый, 230г;https://online.metro-cc.ru/products/230g-kofe-carte-noire-original-molotyy;529;449;CARTE NOIRE
226338;Напиток кофейный Carte Noire Vanilla latte растворимый 20 пакетиков, 320г;https://online.metro-cc.ru/products/20shth16g-nap-kofeynyy-carte-noire-vanilla-latte-rastv-ports;679;679;CARTE NOIRE
219223;Кофе Coferium Strong в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-coferium-strong-v-zernah;1179;1179;COFERIUM
219222;Кофе Coferium White roast в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah;1539;1539;COFERIUM
219193;Кофе Coferium Gold selection в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah;1569;1569;COFERIUM
72533;Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г;https://online.metro-cc.ru/products/coffesso-nabor-v-kapsulah-50-sht-h-5-g;1479;1099;COFFESSO
44941;Кофе Dallmayr Crema Prodomo в зернах, 1кг;https://online.metro-cc.ru/products/dallmayr-crema-prodomo-v-zernah-1000-g;2199;2199;DALLMAYR
456926;Кофе Dallmayr Crema d'Oro натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-crema-d-039oro-1kg;2189;2189;DALLMAYR
298849;Кофе Dallmayr Prodomo жареный в зернах, 500г;https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-prodomo-500g;1139;1139;DALLMAYR
44940;Кофе Dallmayr Espresso d`Oro в зернах, 1кг;https://online.metro-cc.ru/products/art_44940;2209;2209;DALLMAYR
44435;Кофе Dallmayr Classic молотый, 250г;https://online.metro-cc.ru/products/dallmayr-classic-250-g;529;529;DALLMAYR
44503;Кофе Dallmayr Prodomo молотый, 250г;https://online.metro-cc.ru/products/dallmayr-prodomo-250-g;599;599;DALLMAYR
388183;Кофе Dallmayr Ethiopia в зернах, 500г;https://online.metro-cc.ru/products/molotyj-dallmayr-efiopiya-500g;1349;1349;DALLMAYR
112993;Кофе Egoiste трюфель крема в зернах, 1кг;https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg;2199;1699;EGOISTE
580564;Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg;2369;1699;EGOISTE
528357;Кофе Egoiste Platinum, 100г;https://online.metro-cc.ru/products/egoiste-platinum-100-g;1099;899;EGOISTE
112992;Кофе Egoiste гранд крю в зернах, 1кг;https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-grand-kryu-1kg;2299;1899;EGOISTE
598959;Кофе Egoiste Noir растворимый сублимированный, 100г;https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g;749;749;EGOISTE
407891;Кофе Egoiste Special растворимый сублимированный с молотым, 100г;https://online.metro-cc.ru/products/egoiste-sublimirovannnyj-s-molotym-special-100g;999;899;EGOISTE
72873;Кофе Egoiste Double Espresso, 100г;https://online.metro-cc.ru/products/egoiste-double-espresso-100g;729;729;EGOISTE
228292;Кофе Egoiste Truffle молотый, 250г;https://online.metro-cc.ru/products/250g-kofe-egoiste-truffle-molotyy;619;619;EGOISTE
590985;Кофе Egoiste Very Special растворимый сублимированный, 100г;https://online.metro-cc.ru/products/egoiste-sublimirovannyj-very-special-100g;999;899;EGOISTE
508640;Кофе Egoiste Noir молотый, 250г;https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-250g;669;569;EGOISTE
553579;Кофе Egoiste Espresso натуральный молотый жареный, 250г;https://online.metro-cc.ru/products/art_553579;509;449;EGOISTE
228285;Кофе Egoiste Captain в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-egoiste-captain-v-zernah;2349;2349;EGOISTE
636528;Кофе Egoiste Velvet молотый, 200г;https://online.metro-cc.ru/products/egoiste-velvet-200g;569;499;EGOISTE
636529;Кофе Egoiste Velvet в зернах, 200г;https://online.metro-cc.ru/products/egoiste-velvet-200-g;679;569;EGOISTE
59006;Кофе Egoiste Noir растворимый, 70г;https://online.metro-cc.ru/products/egoiste-noir-70g;389;349;EGOISTE
59000;Кофе Egoiste Velvet растворимый, 95г;https://online.metro-cc.ru/products/egoiste-velvet-95g;1099;989;EGOISTE
508641;Кофе Egoiste Noir в зернах, 250г;https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-v-zernah-noir-250g;669;569;EGOISTE
209743;Кофе Egoiste Private растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-egoiste-private-rastvorimyy;1099;989;EGOISTE
636530;Кофе Egoiste Espresso в зернах, 250г;https://online.metro-cc.ru/products/egoiste-espresso-250g;639;529;EGOISTE
228291;Кофе Egoiste Voyage в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-egoiste-voyage-v-zernah;2369;2369;EGOISTE
44332;Кофе Egoiste Espresso в зернах, 1кг;https://online.metro-cc.ru/products/egoiste-espresso-1000g;2349;1799;EGOISTE
228811;Кофе Fort в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-fort-zerno;789;699;FORT
104561;Кофе Fresco Blend в зернах, 1кг;https://online.metro-cc.ru/products/fresco-blend-1000g;1309;1090;FRESCO
228778;Кофе Fresco Horeca arabica в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno;1799;1099;FRESCO
526503;Кофе Fresco Arabica Doppio молотый в растворимом, 100г;https://online.metro-cc.ru/products/fresco-naturalnyj-s-dobavleniem-naturalnogo-zharenogo-molotogo-arabica-doppio-100g;499;249;FRESCO
423210;Кофе Fresco Arabica Blend натуральный растворимый, 100г;https://online.metro-cc.ru/products/fresco-naturalnyj-arabica-blend-100g;499;249;FRESCO
